"team_id","team_name","location_id","created_at"
1,"Admin",2,"2026-04-03 11:24:33.345628"
3,"Campaigns",2,"2026-04-03 11:24:33.345628"
4,"ESG (Enterprise Solutions Group)",2,"2026-04-03 11:24:33.345628"
5,"Digital",2,"2026-04-03 11:24:33.345628"
6,"Data Solutions",2,"2026-04-03 11:24:33.345628"
7,"Data Science",2,"2026-04-03 11:24:33.345628"
8,"Data Analytics",2,"2026-04-03 11:24:33.345628"
9,"AI/ML",2,"2026-04-03 11:24:33.345628"
10,"Marketing (MS)",2,"2026-04-03 11:24:33.345628"
11,"SSG (Software Solutions Group)",2,"2026-04-03 11:24:33.345628"
12,"Human Resources (HR)",2,"2026-04-03 11:24:33.345628"
13,"Finance",2,"2026-04-03 11:24:33.345628"
16,"OPS-Team-AS",1,"2026-04-09 08:20:19.037882"
15,"OPS-Team-HD",3,"2026-04-09 08:00:30.286138"
2,"IT Services",3,"2026-04-03 11:24:33.345628"
20,"DBA",3,"2026-06-02 13:17:40.773277"
